"","year","month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","origin","dest","air_time","distance","hour","minute"
"1",2014,1,1,1,96,235,70,"AS","N508AS",145,"PDX","ANC",194,1542,0,1
"2",2014,1,1,8,13,548,-4,"UA","N37422",1609,"PDX","IAH",201,1825,0,8
"3",2014,1,1,28,-2,800,-23,"US","N547UW",466,"PDX","CLT",251,2282,0,28
"4",2014,1,1,526,-4,1148,15,"UA","N813UA",229,"PDX","IAH",217,1825,5,26
"5",2014,1,1,541,1,911,4,"UA","N36476",1569,"PDX","DEN",130,991,5,41
"6",2014,1,1,549,24,907,12,"US","N548UW",649,"PDX","PHX",122,1009,5,49
"7",2014,1,1,559,-1,916,-9,"F9","N210FR",796,"PDX","DEN",125,991,5,59
"8",2014,1,1,602,-3,1204,7,"UA","N77295",1573,"PDX","ORD",203,1739,6,2
"9",2014,1,1,606,6,746,3,"AS","N796AS",406,"PDX","SJC",87,569,6,6
"10",2014,1,1,618,-2,1135,-30,"AA","N4XMAA",1650,"PDX","DFW",184,1616,6,18
"11",2014,1,1,622,2,1412,-19,"UA","N36472",1021,"PDX","EWR",270,2434,6,22
"12",2014,1,1,630,-10,834,-14,"OO","N219AG",3456,"PDX","BUR",105,817,6,30
"13",2014,1,1,637,-8,858,-7,"AS","N408AS",560,"PDX","LAX",108,834,6,37
"14",2014,1,1,637,-3,854,-6,"AS","N588AS",572,"PDX","SAN",120,933,6,37
"15",2014,1,1,638,-2,1003,-5,"AS","N508AS",646,"PDX","PHX",125,1009,6,38
"16",2014,1,1,638,10,1408,-4,"UA","N526UA",250,"PDX","IAD",253,2327,6,38
"17",2014,1,1,639,4,1219,-11,"WN","N8308K",401,"PDX","MDW",207,1751,6,39
"18",2014,1,1,648,-12,910,-11,"AS","N611AS",582,"PDX","SNA",122,859,6,48
"19",2014,1,1,654,-6,1047,-33,"AS","N586AS",833,"PDX","HNL",327,2603,6,54
"20",2014,1,1,655,-5,1210,-7,"DL","N963DN",2090,"PDX","MSP",168,1426,6,55
"21",2014,1,1,656,-4,1242,-28,"AA","N3KMAA",2218,"PDX","ORD",200,1739,6,56
"22",2014,1,1,656,-4,853,8,"VX","N523VA",805,"PDX","SFO",82,550,6,56
"23",2014,1,1,700,0,844,-1,"UA","N479UA",519,"PDX","SFO",80,550,7,0
"24",2014,1,1,704,-1,910,-9,"OO","N223AG",3460,"PDX","ONT",106,838,7,4
"25",2014,1,1,705,0,931,9,"B6","N627JB",1121,"PDX","LGB",113,846,7,5
"26",2014,1,1,708,-2,1453,-20,"DL","N3772H",2258,"PDX","JFK",267,2454,7,8
"27",2014,1,1,710,-5,906,-21,"AS","N309AS",244,"PDX","SFO",82,550,7,10
"28",2014,1,1,715,-5,1055,-47,"AS","N536AS",855,"PDX","KOA",326,2607,7,15
"29",2014,1,1,722,-3,933,3,"WN","N407WN",947,"PDX","LAS",101,763,7,22
"30",2014,1,1,754,-6,1011,-14,"AS","N706AS",568,"PDX","LAX",111,834,7,54
"31",2014,1,1,801,-4,932,-18,"WN","N447WN",48,"PDX","OAK",78,543,8,1
"32",2014,1,1,809,-6,1326,-5,"DL","N951DN",1588,"PDX","MSP",170,1426,8,9
"33",2014,1,1,819,14,1343,-7,"AA","N4XPAA",1220,"PDX","DFW",178,1616,8,19
"34",2014,1,1,827,2,1414,-16,"UA","N38446",1510,"PDX","IAH",210,1825,8,27
"35",2014,1,1,840,-5,1226,16,"WN","N940WN",644,"PDX","DEN",125,991,8,40
"36",2014,1,1,843,-2,1159,-14,"US","N664AW",685,"PDX","PHX",122,1009,8,43
"37",2014,1,1,846,-4,1114,-16,"WN","N772SW",223,"PDX","SLC",77,630,8,46
"38",2014,1,1,919,-6,1719,-16,"AS","N535AS",30,"PDX","BOS",276,2537,9,19
"39",2014,1,1,925,-2,1106,-17,"OO","N918SW",6307,"PDX","SFO",85,550,9,25
"40",2014,1,1,944,-6,1727,-8,"AS","N548AS",752,"PDX","ATL",252,2172,9,44
"41",2014,1,1,946,-4,1220,-38,"AS","N793AS",131,"PDX","ANC",197,1542,9,46
"42",2014,1,1,949,-1,1108,-12,"WN","N701GS",3572,"PDX","SMF",65,479,9,49
"43",2014,1,1,951,-4,1716,-24,"AS","N583AS",764,"PDX","DCA",252,2350,9,51
